name,team,avg,games,pa,ab,runs,hits,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,slg,obp,ops,year
오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,57,2,133,7,0.491,0.345,0.836,2022
이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,20,2,44,16,0.331,0.303,0.634,2022
박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,42,10,55,7,0.359,0.351,0.71,2022
배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,54,4,126,2,0.356,0.339,0.695,2022
최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,66,19,96,6,0.505,0.386,0.891,2022
최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,73,1,92,9,0.421,0.366,0.787,2022
한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,66,16,137,8,0.478,0.372,0.85,2022
강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,29,3,100,8,0.399,0.31,0.709,2022
황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,53,5,99,17,0.38,0.335,0.715,2022
정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,39,1,56,2,0.331,0.323,0.654,2022
추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,71,13,100,6,0.43,0.382,0.812,2022
하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,31,3,126,4,0.342,0.309,0.651,2022
황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,36,7,92,20,0.401,0.315,0.716,2022
유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,34,11,98,9,0.351,0.326,0.677,2022
김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,61,4,133,5,0.46,0.34,0.8,2022
송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,45,1,65,8,0.371,0.302,0.673,2022
양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,32,7,101,3,0.432,0.309,0.741,2022
박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,45,9,95,9,0.436,0.334,0.77,2022
김태연,한화,0.24,119,464,404,46,97,18,0,7,136,53,48,5,106,9,0.337,0.325,0.662,2022
심우준,KT,0.24,132,449,388,69,93,8,2,4,117,34,43,2,75,11,0.302,0.316,0.618,2022
손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,50,2,67,10,0.443,0.393,0.836,2023
구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,53,4,81,5,0.494,0.407,0.901,2023
김혜성,키움,0.335,137,621,556,104,186,29,6,7,248,57,57,3,77,6,0.446,0.396,0.842,2023
홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,88,22,83,6,0.412,0.444,0.856,2023
에레디아,SSG,0.323,122,523,473,76,153,29,0,12,218,76,39,9,75,13,0.461,0.385,0.846,2023
김선빈,KIA,0.32,119,473,419,41,134,16,0,0,150,48,38,5,26,10,0.358,0.381,0.739,2023
박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,56,9,71,14,0.48,0.397,0.877,2023
박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,40,9,57,13,0.405,0.381,0.786,2023
오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,53,3,75,11,0.517,0.376,0.893,2023
