year,team,slot,games,woba
2024,NC,1,114,0.2248153257990719
2024,NC,2,93,0.2100040360298009
2024,NC,3,48,0.254527707719354
2024,NC,4,144,0.2532847915751904
2024,NC,5,93,0.2156126330820648
2024,NC,6,60,0.1988133327390849
2024,NC,7,41,0.19967195132614474
2024,NC,8,15,0.20296906354191538
2024,NC,9,89,0.20286412038338153
2024,SSG,1,120,0.20654223389041249
2024,SSG,2,50,0.21501206582951557
2024,SSG,3,142,0.2580058557636266
2024,SSG,4,139,0.23840012458595114
2024,SSG,5,98,0.2131898004407957
2024,SSG,6,52,0.21079763088652703
2024,SSG,7,19,0.20999650553275012
2024,SSG,8,5,0.20870243287078755
2024,SSG,9,7,0.2076839670811558
2024,두산,1,117,0.1979162479061977
2024,두산,2,95,0.2150177783849181
2024,두산,3,100,0.22295712211740043
2024,두산,4,146,0.23166337226323147
2024,두산,5,145,0.2214718790174966
2024,두산,6,108,0.22120392149884036
2024,두산,7,44,0.21606597341337908
2024,두산,8,2,0.20662062395309883
2024,두산,9,5,0.19791624790619766
2024,롯데,1,66,0.22272960636813097
2024,롯데,2,118,0.22303847585803616
2024,롯데,3,98,0.23112350111361404
2024,롯데,4,136,0.23622416053558357
2024,롯데,5,84,0.23155686068150408
2024,롯데,6,80,0.2288756077582228
2024,롯데,7,63,0.21566030955097523
2024,롯데,8,61,0.19347775496400116
2024,롯데,9,25,0.19300216450216454
2024,삼성,1,115,0.2160634250873525
2024,삼성,2,66,0.22166685305458542
2024,삼성,3,119,0.2704234676955482
2024,삼성,4,58,0.22603381396275643
2024,삼성,5,76,0.2201958838833819
2024,삼성,6,68,0.22021032296291193
2024,삼성,7,31,0.21927732400429548
2024,삼성,8,16,0.2227246227321284
2024,삼성,9,16,0.21392412613425207
2024,키움,1,89,0.20746942299292048
2024,키움,2,44,0.21781429481714518
2024,키움,3,138,0.23310899747766234
2024,키움,4,135,0.2123837511642461
2024,키움,5,57,0.19572990310955743
2024,키움,6,16,0.2218457287822878
2024,키움,7,5,0.2450533333333333
2024,키움,8,4,0.24505333333333332
2024,키움,9,5,0.19200738007380075
2024,한화,1,41,0.22209450468465441
2024,한화,2,68,0.2254343524909113
2024,한화,3,125,0.2186088211454912
2024,한화,4,143,0.2154637389791812
2024,한화,5,137,0.21714483766431034
2024,한화,6,75,0.21553085648942727
2024,한화,7,15,0.21497289517382281
2025,KIA,1,72,0.18733314709982907
2025,KIA,2,84,0.19668178300027048
2025,KIA,3,47,0.21140466063118538
2025,KIA,4,140,0.23542019740405662
2025,KIA,5,65,0.21346292094915953
2025,KIA,6,47,0.206082401839503
2025,KIA,7,28,0.20031817619014267
2025,KT,1,28,0.18532285115303984
2025,KT,2,21,0.18532285115303984
2025,KT,3,116,0.2477710185787609
2025,KT,4,58,0.1970125424709029
2025,KT,5,57,0.18682489241972858
2025,KT,6,33,0.1876652055142621
2025,KT,7,17,0.18538401775804664
2025,LG,1,99,0.19818325873511014
2025,LG,2,127,0.1992789408474643
2025,LG,3,144,0.24042449810540825
2025,LG,4,144,0.21457901151928974
2025,LG,5,143,0.20324323964717697
2025,LG,6,105,0.19759591804703114
2025,LG,7,70,0.20140173818223595
2025,LG,8,38,0.19415339571033619
2025,LG,9,110,0.1916197596263386
2025,NC,1,125,0.21075551259381162
2025,NC,2,129,0.1960441423201368
2025,NC,3,89,0.20648951646365005
2025,NC,4,5,0.20055063109581184
2025,NC,5,24,0.20000026295658827
2025,NC,6,48,0.20093392319277112
2025,NC,7,44,0.20180504159495127
2025,NC,8,31,0.2019658634538153
2025,NC,9,35,0.1982813224200443
2025,SSG,1,132,0.18939320186197903
2025,SSG,2,22,0.19530130553926792
2025,SSG,3,11,0.19524429507356764
2025,SSG,4,110,0.19866040634253987
2025,SSG,5,102,0.1946389118321343
2025,SSG,6,78,0.19411306200245876
2025,SSG,7,33,0.18998815337185312
2025,SSG,8,8,0.18770031612520816
2025,두산,1,99,0.18498819935946803
2025,두산,2,39,0.20688286995376545
2025,두산,3,130,0.22321028307586527
2025,두산,4,73,0.2349037005936049
2025,두산,5,16,0.22502215779869889
2025,두산,6,2,0.21030067567567565
2025,두산,7,6,0.18808493848325938
2025,두산,9,24,0.18364179104477615
2025,롯데,1,9,0.20061174266609852
2025,롯데,2,96,0.18159133709981168
2025,롯데,3,92,0.21011291771675933
2025,롯데,4,128,0.21109853952626545
2025,롯데,5,19,0.20298929336188437
2025,롯데,6,19,0.20073687691324513
2025,롯데,7,6,0.19229031523084802
2025,롯데,8,2,0.18159133709981168
2025,삼성,1,55,0.20956450722394218
2025,삼성,2,120,0.22136326311269885
2025,삼성,3,141,0.23199891555211943
2025,삼성,4,141,0.2501849229657281
2025,삼성,5,125,0.20998333146125292
2025,삼성,6,90,0.20042705270924294
2025,삼성,7,78,0.192828735884594
2025,삼성,8,62,0.18902841128499992
2025,삼성,9,64,0.19829157730800653
2025,키움,1,101,0.23409475689576323
2025,키움,2,74,0.20585452766199616
2025,키움,3,82,0.19365582638613624
2025,키움,4,65,0.20015845096606744
2025,키움,5,37,0.1929028458627555
2025,키움,6,12,0.18599571957412087
2025,키움,7,3,0.1851434184675835
2025,한화,2,5,0.21022222222222223
2025,한화,3,128,0.21029987078130655
2025,한화,4,144,0.2198990072271188
2025,한화,5,126,0.21128270201767374
2025,한화,6,5,0.21479628702152098
2025,한화,7,1,0.21121965317919075
