gameId,gameDate,year,team,opponent,home,teamScore,oppScore,name,playerCode,season_pa,season_woba,season_wrc,iso,bb_pct
20210415NCSK02021,2021-04-15,2021,NC,SSG,0,3,9,이명기,76849,,,,,
20210415NCSK02021,2021-04-15,2021,SSG,NC,1,9,3,오태곤,60558,,,,,
20210416HHNC02021,2021-04-16,2021,NC,한화,1,9,1,이명기,76849,,,,,
20210416HHNC02021,2021-04-16,2021,한화,NC,0,1,9,박정현,50709,,,,,
20210416HTSK02021,2021-04-16,2021,KIA,SSG,0,11,6,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210416HTSK02021,2021-04-16,2021,SSG,KIA,1,6,11,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210416OBLG02021,2021-04-16,2021,LG,두산,1,1,0,라모스,50165,,,,,
20210416OBLG02021,2021-04-16,2021,두산,LG,0,0,1,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210416SSLT02021,2021-04-16,2021,롯데,삼성,1,9,3,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210416SSLT02021,2021-04-16,2021,삼성,롯데,0,3,9,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210416WOKT02021,2021-04-16,2021,KT,키움,1,8,4,김민혁,64004,,,,,
20210416WOKT02021,2021-04-16,2021,키움,KT,0,4,8,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210417HHNC02021,2021-04-17,2021,NC,한화,1,14,4,이명기,76849,,,,,
20210417HHNC02021,2021-04-17,2021,한화,NC,0,4,14,강경학,61700,,,,,
20210417HTSK02021,2021-04-17,2021,KIA,SSG,0,3,4,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210417HTSK02021,2021-04-17,2021,SSG,KIA,1,4,3,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210417OBLG02021,2021-04-17,2021,LG,두산,1,1,3,이천웅,61186,,,,,
20210417OBLG02021,2021-04-17,2021,두산,LG,0,3,1,조수행,66209,,,,,
20210417SSLT02021,2021-04-17,2021,롯데,삼성,1,0,12,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210417SSLT02021,2021-04-17,2021,삼성,롯데,0,12,0,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210417WOKT02021,2021-04-17,2021,KT,키움,1,8,5,배정대,64166,595.0,0.19250508474576272,-0.753320419570939,0.11960784313725491,0.1092436974789916
20210417WOKT02021,2021-04-17,2021,키움,KT,0,5,8,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210418HHNC02021,2021-04-18,2021,NC,한화,1,3,11,권희동,63963,,,,,
20210418HHNC02021,2021-04-18,2021,한화,NC,0,11,3,박정현,50709,,,,,
20210418HTSK02021,2021-04-18,2021,KIA,SSG,0,2,4,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210418HTSK02021,2021-04-18,2021,SSG,KIA,1,4,2,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210418OBLG02021,2021-04-18,2021,LG,두산,1,1,9,이형종,78135,,,,,
20210418OBLG02021,2021-04-18,2021,두산,LG,0,9,1,조수행,66209,,,,,
20210418SSLT02021,2021-04-18,2021,롯데,삼성,1,0,7,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210418SSLT02021,2021-04-18,2021,삼성,롯데,0,7,0,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210418WOKT02021,2021-04-18,2021,KT,키움,1,10,2,배정대,64166,595.0,0.19250508474576272,-0.753320419570939,0.11960784313725491,0.1092436974789916
20210418WOKT02021,2021-04-18,2021,키움,KT,0,2,10,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210420HTLG02021,2021-04-20,2021,KIA,LG,0,6,3,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210420HTLG02021,2021-04-20,2021,LG,KIA,1,3,6,라모스,50165,,,,,
20210420KTNC02021,2021-04-20,2021,KT,NC,0,5,2,황재균,76313,507.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
20210420KTNC02021,2021-04-20,2021,NC,KT,1,2,5,권희동,63963,,,,,
20210420OBLT02021,2021-04-20,2021,두산,롯데,0,5,10,조수행,66209,,,,,
20210420OBLT02021,2021-04-20,2021,롯데,두산,1,10,5,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210420SKSS02021,2021-04-20,2021,SSG,삼성,0,10,7,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210420SKSS02021,2021-04-20,2021,삼성,SSG,1,7,10,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210420WOHH02021,2021-04-20,2021,키움,한화,0,3,7,서건창,78168,,,,,
20210420WOHH02021,2021-04-20,2021,한화,키움,1,7,3,박정현,50709,,,,,
20210421HTLG02021,2021-04-21,2021,KIA,LG,0,3,7,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210421HTLG02021,2021-04-21,2021,LG,KIA,1,7,3,이형종,78135,,,,,
20210421KTNC02021,2021-04-21,2021,KT,NC,0,3,4,황재균,76313,507.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
20210421KTNC02021,2021-04-21,2021,NC,KT,1,4,3,전민수,78361,,,,,
20210421OBLT02021,2021-04-21,2021,두산,롯데,0,9,10,조수행,66209,,,,,
20210421OBLT02021,2021-04-21,2021,롯데,두산,1,10,9,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210421SKSS02021,2021-04-21,2021,SSG,삼성,0,4,14,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210421SKSS02021,2021-04-21,2021,삼성,SSG,1,14,4,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210421WOHH02021,2021-04-21,2021,키움,한화,0,3,4,서건창,78168,,,,,
20210421WOHH02021,2021-04-21,2021,한화,키움,1,4,3,박정현,50709,,,,,
20210422HTLG02021,2021-04-22,2021,KIA,LG,0,3,2,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210422HTLG02021,2021-04-22,2021,LG,KIA,1,2,3,이형종,78135,,,,,
20210422KTNC02021,2021-04-22,2021,KT,NC,0,11,5,김민혁,64004,,,,,
20210422KTNC02021,2021-04-22,2021,NC,KT,1,5,11,전민수,78361,,,,,
20210422OBLT02021,2021-04-22,2021,두산,롯데,0,13,1,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210422OBLT02021,2021-04-22,2021,롯데,두산,1,1,13,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210422SKSS02021,2021-04-22,2021,SSG,삼성,0,11,6,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210422SKSS02021,2021-04-22,2021,삼성,SSG,1,6,11,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210422WOHH02021,2021-04-22,2021,키움,한화,0,8,3,이정후,67341,544.0,0.247219152854512,35.1607294138607,0.16163793103448276,0.11397058823529412
20210422WOHH02021,2021-04-22,2021,한화,키움,1,3,8,장운호,63700,,,,,
