season,slot,team,teamId,plateAppearances,atBats,runs,hits,doubles,triples,homeRuns,baseOnBalls,intentionalWalks,hitByPitch,strikeOuts,sacBunts,sacFlies,stolenBases,caughtStealing,totalBases,rbi,avg,obp,slg,ops,babip
2010,1,Toronto Blue Jays,141,749,671,,163,38,6,15,62,1,9,166,2,5,,,258,54,.243,.313,.385,.698,.299
2010,1,St. Louis Cardinals,138,761,689,,166,33,1,11,62,1,4,103,4,2,,,234,53,.241,.306,.340,.646,.269
2010,1,Washington Nationals,120,743,666,,158,20,9,5,53,2,9,134,10,5,,,211,43,.237,.300,.317,.617,.288
2010,1,San Diego Padres,135,752,672,,159,14,3,10,61,0,7,111,9,3,,,209,63,.237,.306,.311,.617,.269
2010,2,Florida Marlins,146,744,663,,200,43,8,13,71,0,4,138,4,2,,,298,71,.302,.372,.449,.821,.364
2010,2,Cincinnati Reds,113,747,671,,197,44,0,13,49,1,8,98,12,7,,,280,52,.294,.346,.417,.763,.325
2010,2,Pittsburgh Pirates,134,710,642,,185,34,5,12,53,1,5,110,7,3,,,265,54,.288,.346,.413,.759,.331
2010,2,Texas Rangers,140,753,687,,197,38,4,21,53,4,1,117,1,11,,,306,99,.287,.334,.445,.779,.314
2010,2,Chicago Cubs,112,737,683,,195,43,2,11,35,1,11,103,4,4,,,275,57,.286,.329,.403,.732,.321
2010,2,St. Louis Cardinals,138,747,669,,191,43,3,16,63,0,6,135,5,3,,,288,63,.286,.351,.430,.781,.336
2010,2,Detroit Tigers,116,753,659,,188,42,4,13,71,2,5,99,14,4,,,277,68,.285,.357,.420,.777,.318
2010,2,Atlanta Braves,144,754,656,,187,38,4,12,83,3,10,133,3,2,,,269,59,.285,.373,.410,.783,.341
2010,2,Baltimore Orioles,110,734,680,,192,32,6,18,38,5,9,113,3,4,,,290,71,.282,.327,.426,.753,.315
2010,2,San Francisco Giants,137,727,652,,182,32,2,11,53,0,4,105,10,8,,,251,72,.279,.333,.385,.718,.314
2010,2,Philadelphia Phillies,143,749,690,,192,36,3,12,46,1,6,73,2,5,,,270,62,.278,.327,.391,.718,.295
2010,2,Oakland Athletics,133,733,595,,165,37,5,10,115,2,5,106,13,5,,,242,62,.277,.396,.407,.803,.320
2010,2,Kansas City Royals,118,741,668,,184,19,5,7,50,1,3,82,12,8,,,234,57,.275,.325,.350,.675,.302
2010,2,Colorado Rockies,115,748,660,,181,28,9,13,73,1,0,128,11,4,,,266,65,.274,.345,.403,.748,.321
2010,2,Arizona Diamondbacks,109,732,660,,179,36,8,18,61,3,3,131,1,7,,,285,79,.271,.332,.432,.764,.311
2010,2,Washington Nationals,120,722,650,,176,29,4,10,45,0,10,106,13,4,,,243,50,.271,.326,.374,.700,.309
2010,2,Boston Red Sox,111,757,662,,178,40,6,28,73,0,6,115,9,7,,,314,87,.269,.344,.474,.818,.285
2010,2,Milwaukee Brewers,158,752,698,,187,44,5,19,41,1,7,161,3,3,,,298,83,.268,.314,.427,.741,.322
2010,2,Tampa Bay Rays,139,753,657,,174,34,8,17,68,2,5,125,7,11,,,275,85,.265,.333,.419,.752,.298
2010,2,San Diego Padres,135,739,672,,175,41,1,8,44,0,11,75,10,2,,,242,55,.260,.316,.360,.676,.283
2010,2,Houston Astros,117,718,658,,171,35,2,5,47,1,3,71,9,1,,,225,67,.260,.312,.342,.654,.285
2010,2,Los Angeles Angels,108,731,671,,174,47,4,14,43,0,7,97,5,5,,,271,67,.259,.309,.404,.713,.283
2010,2,Chicago White Sox,145,727,646,,166,26,4,9,54,0,5,96,16,6,,,227,70,.257,.316,.351,.667,.287
2010,2,Seattle Mariners,136,716,614,,157,22,2,1,75,0,3,123,18,6,,,186,35,.256,.337,.303,.640,.315
2010,2,Minnesota Twins,142,746,663,,169,29,8,9,63,0,4,113,10,6,,,241,58,.255,.321,.363,.684,.293
2010,2,Los Angeles Dodgers,119,737,642,,162,24,3,16,70,1,6,135,12,7,,,240,63,.252,.328,.374,.702,.293
2010,2,Cleveland Indians,114,741,666,,166,26,4,17,53,1,11,130,6,5,,,251,71,.249,.313,.377,.690,.284
2010,2,New York Yankees,147,773,668,,163,35,4,26,93,1,4,151,4,4,,,284,87,.244,.338,.425,.763,.277
2010,2,New York Mets,121,733,641,,156,31,6,5,63,2,4,77,17,8,,,214,67,.243,.311,.334,.645,.266
