year,name,code,PA,AB,R,H,2B,3B,HR,TB,SB,CS,BB,HP,IB,SO,SH,SF
2021,신준우,10001,51,42,7,7,3,0,0,10,0,1,4,3,0,21,1,1
2021,김지수,7002,25,24,0,2,1,0,0,3,0,0,1,0,0,14,0,0
2021,윤형준,11001,81,74,10,22,0,0,5,37,0,1,3,0,0,17,3,1
2021,김재성,5002,73,65,6,9,2,1,1,16,1,0,5,1,0,13,1,1
2021,박주홍,10001,56,47,4,5,2,0,0,7,1,1,9,0,0,21,0,0
2021,이성열,7002,140,119,15,25,8,0,2,39,1,0,18,1,0,36,0,2
2021,장두성,3001,41,36,12,8,2,1,0,12,4,2,5,0,0,12,0,0
2021,김도환,1001,46,41,1,6,2,0,0,8,0,1,2,2,0,20,1,0
2021,박민,2002,38,35,3,6,1,0,0,7,0,1,2,1,0,10,0,0
2021,예진원,10001,132,114,16,18,6,1,1,29,0,1,12,2,0,28,3,1
2021,김기환,11001,149,140,19,29,7,2,3,49,15,4,8,0,0,45,1,0
2021,나주환,2002,32,31,0,5,0,0,0,5,0,0,0,0,0,12,0,1
2021,강한울,1001,258,223,25,58,5,0,0,63,2,2,29,0,0,58,3,3
2021,신용수,3001,136,119,23,31,5,2,1,43,3,1,11,3,0,20,2,1
2021,도태훈,11001,76,66,10,12,1,0,1,16,1,0,6,4,0,14,0,0
2021,강태율,3001,31,26,1,2,1,0,1,6,0,1,4,0,0,10,0,1
2021,나승엽,3001,128,113,16,23,2,0,2,31,1,0,14,0,0,33,0,1
2021,이해창,7002,60,54,4,9,3,0,0,12,0,1,1,1,0,13,3,1
2021,조한민,7002,145,127,15,25,6,2,5,50,3,2,13,2,0,57,1,2
2021,이천웅,5002,211,181,20,36,7,0,2,49,3,2,25,3,0,23,1,1
2021,김태훈,12001,91,87,6,20,4,1,1,29,1,0,2,1,0,19,1,0
2021,강상원,7002,49,37,7,4,0,0,0,4,3,0,9,1,0,11,2,0
2021,박정현,7002,120,107,10,21,4,0,0,25,1,0,9,0,0,32,3,1
2021,이학주,1001,174,155,17,32,8,0,4,52,2,2,14,1,0,61,4,0
2021,조용호,12001,515,428,71,101,14,1,0,117,12,9,74,3,0,85,5,5
2021,장지승,7002,72,61,7,11,1,0,1,15,2,0,7,1,0,24,2,1
2021,오재원,6002,79,72,6,12,3,0,0,15,2,0,6,0,0,18,0,1
2021,오선진,1001,46,42,5,9,0,0,0,9,0,0,3,1,0,8,0,0
2021,이홍구,12001,58,55,4,9,0,0,1,12,0,0,2,0,1,28,0,1
2021,배성근,3001,109,93,21,19,4,0,1,26,1,0,14,0,0,36,2,0
2021,고종욱,9002,199,180,25,48,5,0,2,59,2,3,16,0,0,30,1,2
2021,허관회,7002,79,63,4,12,0,0,0,12,0,0,13,1,0,22,0,2
2021,백용환,7002,102,86,10,12,1,0,4,25,0,0,11,3,0,26,2,0
2021,강진성,11001,462,406,49,101,20,0,7,142,9,3,36,14,2,68,4,2
2021,최민재,3001,27,25,2,2,1,0,0,3,2,0,2,0,0,8,0,0
2021,이동훈,7002,62,53,8,10,1,0,0,11,2,2,3,2,0,12,4,0
2021,노태형,7002,49,43,6,5,1,0,0,6,0,0,6,0,0,15,0,0
2021,프레이타스,10001,148,139,13,36,10,0,2,52,0,0,7,1,0,29,0,1
2021,이도윤,7002,68,63,5,11,0,0,0,11,1,2,4,0,0,18,1,0
2021,보어,5002,117,100,7,17,2,0,3,28,0,0,11,3,0,30,0,3
2021,민병헌,3001,49,42,5,8,3,0,0,11,0,1,6,0,0,11,1,0
2021,이원재,11001,69,65,3,15,2,0,0,17,1,0,1,1,0,11,1,1
2021,박대온,11001,95,85,4,18,1,0,0,19,0,0,4,0,0,21,4,2
2021,김창평,9002,28,25,6,2,0,0,0,2,2,1,1,0,0,6,2,0
2021,김동엽,1001,203,185,20,44,9,0,4,65,2,1,10,4,0,42,0,4
2021,김휘집,10001,89,70,9,9,1,0,1,13,1,0,13,2,0,23,3,1
2021,정의윤,9002,178,165,21,38,2,0,7,61,0,0,11,0,1,37,0,2
2021,나지완,2002,102,81,3,13,1,0,0,14,0,0,14,6,0,29,0,1
2021,황대인,2002,308,282,30,67,10,1,13,118,0,0,18,2,0,62,1,5
2021,유로결,7002,112,98,11,14,5,0,1,22,2,1,8,2,0,39,2,2
2021,정진기,11001,206,193,27,43,8,0,6,69,6,3,10,1,0,39,2,0
2021,이원석,7002,130,114,12,20,1,1,1,26,4,2,8,2,0,43,4,2
2021,임종찬,7002,146,131,9,20,5,0,1,28,0,1,12,1,0,49,2,0
